latitude,longitude,Area,avg price in area,CATEGORIE,DATE
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Mischief,2024-01-12
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Mischief,2023-12-21
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Mischief,2023-11-05
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Theft from motor vehicle,2023-07-05
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Mischief,2023-10-22
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Armed robbery,2023-10-05
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Home invasion,2023-10-19
45.491326,-73.580554,Ville-Marie,650000,Theft from motor vehicle,2023-07-31
45.491326,-73.580554,Ville-Marie,650000,Theft from motor vehicle,2023-08-01
45.451332,-73.586441,Le Sud-Ouest,1263125,Theft from motor vehicle,2023-11-09
45.451332,-73.586441,Le Sud-Ouest,1263125,Home invasion,2023-10-08
45.451332,-73.586441,Le Sud-Ouest,1263125,Mischief,2023-05-03
45.497004,-73.600292,Ville-Marie,650000,Motor vehicle theft,2023-03-14
45.47008,-73.593151,Le Sud-Ouest,1263125,Motor vehicle theft,2023-09-24
45.451475,-73.589528,Le Sud-Ouest,1263125,Theft from motor vehicle,2023-04-04
45.451475,-73.589528,Le Sud-Ouest,1263125,Home invasion,2023-06-23
45.531783,-73.597787,Rosemont/La Petite-Patrie,430000,Home invasion,2023-01-14
45.531783,-73.597787,Rosemont/La Petite-Patrie,430000,Motor vehicle theft,2024-01-08
45.531783,-73.597787,Rosemont/La Petite-Patrie,430000,Mischief,2023-12-15
45.531783,-73.597787,Rosemont/La Petite-Patrie,430000,Home invasion,2023-08-24
45.58188,-73.550422,Mercier/Hochelaga-Maisonneuve,806112,Motor vehicle theft,2023-02-17
45.537909,-73.61124,Rosemont/La Petite-Patrie,430000,Mischief,2023-02-04
45.537909,-73.61124,Rosemont/La Petite-Patrie,430000,Motor vehicle theft,2023-01-07
45.537909,-73.61124,Rosemont/La Petite-Patrie,430000,Motor vehicle theft,2023-12-07
45.537909,-73.61124,Rosemont/La Petite-Patrie,430000,Mischief,2023-11-03
45.537909,-73.61124,Rosemont/La Petite-Patrie,430000,Home invasion,2023-04-20
45.605904,-73.526909,Mercier/Hochelaga-Maisonneuve,806112,Mischief,2023-05-30
45.559759,-73.582165,Rosemont/La Petite-Patrie,430000,Motor vehicle theft,2023-12-18
45.443152,-73.634688,LaSalle,799000,Theft from motor vehicle,2023-12-13
45.443152,-73.634688,LaSalle,799000,Motor vehicle theft,2023-09-28
45.603067,-73.596079,Saint-Leonard,971454,Motor vehicle theft,2023-10-03
45.498068,-73.5823,Ville-Marie,650000,Motor vehicle theft,2023-06-17
45.515908,-73.565241,Ville-Marie,650000,Mischief,2023-06-11
45.531963,-73.553594,Ville-Marie,650000,Mischief,2023-12-12
45.531963,-73.553594,Ville-Marie,650000,Mischief,2023-11-09
45.531963,-73.553594,Ville-Marie,650000,Mischief,2023-09-14
45.531963,-73.553594,Ville-Marie,650000,Mischief,2023-09-14
45.531963,-73.553594,Ville-Marie,650000,Mischief,2023-08-02
45.531963,-73.553594,Ville-Marie,650000,Motor vehicle theft,2023-05-11
45.471155,-73.585372,Le Sud-Ouest,1263125,Home invasion,2023-10-02
45.471155,-73.585372,Le Sud-Ouest,1263125,Theft from motor vehicle,2023-08-10
45.471155,-73.585372,Le Sud-Ouest,1263125,Home invasion,2023-08-16
45.497651,-73.555414,Ville-Marie,650000,Motor vehicle theft,2023-05-08
45.456151,-73.599624,Le Sud-Ouest,1263125,Mischief,2023-03-28
45.456151,-73.599624,Le Sud-Ouest,1263125,Mischief,2023-05-06
45.456151,-73.599624,Le Sud-Ouest,1263125,Theft from motor vehicle,2023-07-04
45.453268,-73.598594,Le Sud-Ouest,1263125,Motor vehicle theft,2023-11-01
45.580482,-73.647289,Montreal-Nord,705282,Theft from motor vehicle,2023-04-28
45.580482,-73.647289,Montreal-Nord,705282,Theft from motor vehicle,2023-12-13
45.571146,-73.651196,Ahuntsic-Cartierville,1015337,Mischief,2023-01-07
45.571146,-73.651196,Ahuntsic-Cartierville,1015337,Motor vehicle theft,2023-08-29
45.547113,-73.597988,Rosemont/La Petite-Patrie,430000,Motor vehicle theft,2023-08-18
45.547113,-73.597988,Rosemont/La Petite-Patrie,430000,Home invasion,2023-09-21
45.547113,-73.597988,Rosemont/La Petite-Patrie,430000,Motor vehicle theft,2023-04-15
45.525462,-73.551756,Ville-Marie,650000,Home invasion,2023-10-20
45.584112,-73.594322,Saint-Leonard,971454,Mischief,2023-08-29
45.584112,-73.594322,Saint-Leonard,971454,Theft from motor vehicle,2023-06-30
45.504886,-73.56999,Ville-Marie,650000,Theft from motor vehicle,2024-01-13
45.499872,-73.558975,Ville-Marie,650000,Theft from motor vehicle,2023-05-22
45.499872,-73.558975,Ville-Marie,650000,Theft from motor vehicle,2023-12-21
45.570513,-73.572797,Rosemont/La Petite-Patrie,430000,Theft from motor vehicle,2023-10-11
45.4884,-73.580104,Ville-Marie,650000,Motor vehicle theft,2023-06-27
45.580661,-73.594541,Saint-Leonard,971454,Motor vehicle theft,2023-10-02
45.580661,-73.594541,Saint-Leonard,971454,Motor vehicle theft,2023-06-07
45.446627,-73.640831,Lachine,741715,Motor vehicle theft,2023-03-16
45.446627,-73.640831,Lachine,741715,Motor vehicle theft,2023-04-07
45.560674,-73.612352,Villeray/Saint-Michel/Parc-Extension,951725,Home invasion,2023-11-13
45.606257,-73.561676,Anjou,686128,Mischief,2023-09-18
45.504289,-73.568728,Ville-Marie,650000,Motor vehicle theft,2023-09-29
45.504289,-73.568728,Ville-Marie,650000,Motor vehicle theft,2023-10-19
45.504289,-73.568728,Ville-Marie,650000,Theft from motor vehicle,2023-12-30
45.504289,-73.568728,Ville-Marie,650000,Motor vehicle theft,2023-07-26
45.504289,-73.568728,Ville-Marie,650000,Theft from motor vehicle,2023-11-28
45.504289,-73.568728,Ville-Marie,650000,Theft from motor vehicle,2023-10-15
45.504289,-73.568728,Ville-Marie,650000,Theft from motor vehicle,2023-10-17
45.504289,-73.568728,Ville-Marie,650000,Theft from motor vehicle,2023-09-04
45.504289,-73.568728,Ville-Marie,650000,Theft from motor vehicle,2023-06-15
45.504289,-73.568728,Ville-Marie,650000,Theft from motor vehicle,2023-05-16
45.504289,-73.568728,Ville-Marie,650000,Motor vehicle theft,2023-02-08
45.445338,-73.697481,Lachine,741715,Motor vehicle theft,2023-03-29
45.586758,-73.589031,Saint-Leonard,971454,Theft from motor vehicle,2023-10-18
45.643115,-73.492071,Riviere-des-Prairies/Pointe-aux-Trembles,657464,Home invasion,2023-02-26
45.495206,-73.55851,Le Sud-Ouest,1263125,Motor vehicle theft,2023-04-08
45.495206,-73.55851,Le Sud-Ouest,1263125,Mischief,2023-08-24
45.51691,-73.567462,Le Plateau-Mont-Royal,1585049,Motor vehicle theft,2023-09-24
45.562636,-73.579649,Rosemont/La Petite-Patrie,430000,Mischief,2023-09-14
45.562636,-73.579649,Rosemont/La Petite-Patrie,430000,Mischief,2023-09-08
45.502632,-73.784266,Pierrefonds-Roxboro,787858,Motor vehicle theft,2023-05-07
45.502632,-73.784266,Pierrefonds-Roxboro,787858,Motor vehicle theft,2023-06-03
45.516775,-73.695433,Saint-Laurent,1022390,Home invasion,2023-06-08
45.552827,-73.537239,Mercier/Hochelaga-Maisonneuve,806112,Home invasion,2023-10-29
45.552827,-73.537239,Mercier/Hochelaga-Maisonneuve,806112,Home invasion,2023-07-26
45.552717,-73.537317,Mercier/Hochelaga-Maisonneuve,806112,Theft from motor vehicle,2023-02-03
45.553717,-73.55205,Mercier/Hochelaga-Maisonneuve,806112,Home invasion,2023-08-07
45.553717,-73.55205,Mercier/Hochelaga-Maisonneuve,806112,Mischief,2023-08-18
45.48654,-73.548856,Le Sud-Ouest,1263125,Theft from motor vehicle,2023-07-17
45.48654,-73.548856,Le Sud-Ouest,1263125,Theft from motor vehicle,2023-08-01
45.48654,-73.548856,Le Sud-Ouest,1263125,Motor vehicle theft,2023-06-30
45.520002,-73.596666,Le Plateau-Mont-Royal,1585049,Motor vehicle theft,2023-06-14
45.565539,-73.581964,Rosemont/La Petite-Patrie,430000,Home invasion,2023-03-22
45.524777,-73.584728,Le Plateau-Mont-Royal,1585049,Theft from motor vehicle,2023-06-24
45.524777,-73.584728,Le Plateau-Mont-Royal,1585049,Theft from motor vehicle,2023-06-04
45.524777,-73.584728,Le Plateau-Mont-Royal,1585049,Home invasion,2023-04-28
45.452809,-73.601139,Le Sud-Ouest,1263125,Home invasion,2023-07-13
45.516675,-73.566946,Ville-Marie,650000,Motor vehicle theft,2023-12-09
45.516675,-73.566946,Ville-Marie,650000,Theft from motor vehicle,2023-10-04
45.471087,-73.563911,Verdun,785000,Theft from motor vehicle,2023-01-26
45.559001,-73.672309,Ahuntsic-Cartierville,1015337,Motor vehicle theft,2023-07-17
45.491615,-73.644837,Cote-des-Neiges/Notre-Dame-de-Grace,1378151,Theft from motor vehicle,2023-05-22
45.491615,-73.644837,Cote-des-Neiges/Notre-Dame-de-Grace,1378151,Motor vehicle theft,2023-11-25
45.491615,-73.644837,Cote-des-Neiges/Notre-Dame-de-Grace,1378151,Motor vehicle theft,2023-07-31
45.491615,-73.644837,Cote-des-Neiges/Notre-Dame-de-Grace,1378151,Motor vehicle theft,2023-08-24
45.491615,-73.644837,Cote-des-Neiges/Notre-Dame-de-Grace,1378151,Motor vehicle theft,2023-08-29
45.491615,-73.644837,Cote-des-Neiges/Notre-Dame-de-Grace,1378151,Theft from motor vehicle,2023-06-22
45.554062,-73.530238,Mercier/Hochelaga-Maisonneuve,806112,Home invasion,2024-01-12
45.554062,-73.530238,Mercier/Hochelaga-Maisonneuve,806112,Theft from motor vehicle,2023-06-29
45.529482,-73.548033,Ville-Marie,650000,Home invasion,2023-08-27
45.529482,-73.548033,Ville-Marie,650000,Home invasion,2023-06-13
45.529482,-73.548033,Ville-Marie,650000,Mischief,2023-05-02
45.529482,-73.548033,Ville-Marie,650000,Mischief,2023-02-27
45.520245,-73.556606,Ville-Marie,650000,Motor vehicle theft,2023-10-03
45.520245,-73.556606,Ville-Marie,650000,Motor vehicle theft,2023-08-11
45.520245,-73.556606,Ville-Marie,650000,Home invasion,2023-11-15
45.520245,-73.556606,Ville-Marie,650000,Home invasion,2023-08-26
45.520245,-73.556606,Ville-Marie,650000,Home invasion,2023-08-24
45.510587,-73.56533,Ville-Marie,650000,Mischief,2023-11-14
45.510587,-73.56533,Ville-Marie,650000,Mischief,2023-10-16
45.510587,-73.56533,Ville-Marie,650000,Motor vehicle theft,2023-09-13
45.510587,-73.56533,Ville-Marie,650000,Motor vehicle theft,2023-05-09
45.510587,-73.56533,Ville-Marie,650000,Theft from motor vehicle,2023-05-19
45.52319,-73.571655,Le Plateau-Mont-Royal,1585049,Theft from motor vehicle,2023-01-31
45.479206,-73.566398,Le Sud-Ouest,1263125,Home invasion,2023-06-01
45.519489,-73.557303,Ville-Marie,650000,Motor vehicle theft,2023-10-19
45.519489,-73.557303,Ville-Marie,650000,Motor vehicle theft,2023-10-04
45.519489,-73.557303,Ville-Marie,650000,Home invasion,2023-04-03
45.519489,-73.557303,Ville-Marie,650000,Home invasion,2023-04-03
45.519489,-73.557303,Ville-Marie,650000,Mischief,2023-04-17
45.491812,-73.745264,Saint-Laurent,1022390,Motor vehicle theft,2023-01-23
45.585309,-73.510916,Mercier/Hochelaga-Maisonneuve,806112,Theft from motor vehicle,2023-01-24
45.585309,-73.510916,Mercier/Hochelaga-Maisonneuve,806112,Motor vehicle theft,2023-01-24
45.547009,-73.644854,Ahuntsic-Cartierville,1015337,Motor vehicle theft,2023-09-04
45.515415,-73.575912,Le Plateau-Mont-Royal,1585049,Mischief,2023-04-25
45.515415,-73.575912,Le Plateau-Mont-Royal,1585049,Theft from motor vehicle,2023-04-12
45.515415,-73.575912,Le Plateau-Mont-Royal,1585049,Theft from motor vehicle,2023-04-15
45.515415,-73.575912,Le Plateau-Mont-Royal,1585049,Theft from motor vehicle,2023-03-21
45.515415,-73.575912,Le Plateau-Mont-Royal,1585049,Theft from motor vehicle,2023-02-26
45.515415,-73.575912,Le Plateau-Mont-Royal,1585049,Theft from motor vehicle,2023-02-02
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Motor vehicle theft,2023-08-20
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Mischief,2023-08-05
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Mischief,2023-06-25
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Home invasion,2023-08-09
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Home invasion,2023-08-02
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Motor vehicle theft,2023-04-19
45.536126,-73.603071,Rosemont/La Petite-Patrie,430000,Theft from motor vehicle,2023-03-01
45.556598,-73.652832,Ahuntsic-Cartierville,1015337,Home invasion,2023-05-19
45.556598,-73.652832,Ahuntsic-Cartierville,1015337,Motor vehicle theft,2023-03-21
45.505404,-73.557888,Ville-Marie,650000,Motor vehicle theft,2023-05-10
45.513109,-73.562067,Ville-Marie,650000,Theft from motor vehicle,2023-01-22
45.513109,-73.562067,Ville-Marie,650000,Theft from motor vehicle,2023-11-09
45.513109,-73.562067,Ville-Marie,650000,Theft from motor vehicle,2023-06-28
45.513109,-73.562067,Ville-Marie,650000,Mischief,2023-06-28
45.513109,-73.562067,Ville-Marie,650000,Theft from motor vehicle,2023-06-03
45.47922,-73.556114,Le Sud-Ouest,1263125,Motor vehicle theft,2023-06-01
45.47922,-73.556114,Le Sud-Ouest,1263125,Motor vehicle theft,2023-10-01
45.697018,-73.49698,Riviere-des-Prairies/Pointe-aux-Trembles,657464,Mischief,2023-11-06
45.468373,-73.635533,Cote-des-Neiges/Notre-Dame-de-Grace,1378151,Mischief,2023-09-24
45.45395,-73.642311,Cote-des-Neiges/Notre-Dame-de-Grace,1378151,Mischief,2023-08-22
45.45395,-73.642311,Cote-des-Neiges/Notre-Dame-de-Grace,1378151,Theft from motor vehicle,2023-11-07
45.45395,-73.642311,Cote-des-Neiges/Notre-Dame-de-Grace,1378151,Theft from motor vehicle,2023-12-11
45.557499,-73.655894,Ahuntsic-Cartierville,1015337,Motor vehicle theft,2023-06-12
45.657072,-73.49995,Riviere-des-Prairies/Pointe-aux-Trembles,657464,Mischief,2023-08-29
45.585062,-73.569497,Saint-Leonard,971454,Motor vehicle theft,2023-11-12
45.512567,-73.560829,Ville-Marie,650000,Theft from motor vehicle,2023-01-27
45.591008,-73.632035,Montreal-Nord,705282,Theft from motor vehicle,2023-03-02
45.591008,-73.632035,Montreal-Nord,705282,Theft from motor vehicle,2023-10-04
45.665466,-73.535651,Riviere-des-Prairies/Pointe-aux-Trembles,657464,Motor vehicle theft,2023-01-12
45.512759,-73.561301,Ville-Marie,650000,Theft from motor vehicle,2023-07-20
45.535168,-73.572449,Le Plateau-Mont-Royal,1585049,Motor vehicle theft,2023-10-23
45.535168,-73.572449,Le Plateau-Mont-Royal,1585049,Home invasion,2023-09-03
45.535168,-73.572449,Le Plateau-Mont-Royal,1585049,Home invasion,2023-08-16
45.535168,-73.572449,Le Plateau-Mont-Royal,1585049,Home invasion,2023-05-26
